Id,SalePrice
1461,126328.06499640318
1462,160186.19362392998
1463,186812.16354236417
1464,195481.34298959596
1465,186984.5896739638
1466,172813.2858859595
1467,173872.65776779072
1468,167675.9403505006
1469,178868.5123745593
1470,125667.93594280277
1471,200703.96879680938
1472,97669.22009906135
1473,100875.55984499364
1474,148756.10174476757
1475,122786.78935281947
1476,378431.9169563325
1477,255975.9777707283
1478,293538.3552370722
1479,257983.20940184715
1480,544755.2965034969
1481,309237.1116406824
1482,209785.69938937947
1483,172101.32507966
1484,173233.17267144966
1485,180431.17238450865
1486,193891.50602369948
1487,333444.90965828777
1488,230895.84361774306
1489,214231.91111738572
1490,233539.65494100132
1491,191000.1816396042
1492,90704.4051855329
1493,178933.5066610915
1494,290918.69333157677
1495,273308.16994227876
1496,232730.57947819872
1497,177345.4408974738
1498,161499.69950195818
1499,160205.10427623545
1500,157083.00535095908
1501,171198.85158927823
1502,151222.2985994562
1503,302399.3086156534
1504,235327.0900685634
1505,223032.27013803896
1506,180941.99135781883
1507,246855.03951130874
1508,201901.8087308554
1509,165619.2435835608
1510,148850.64920777443
1511,145403.22694243898
1512,168655.01067521775
1513,142057.58397534516
1514,169957.1772305371
1515,201781.27753997006
1516,153976.69825889083
1517,158853.87752783287
1518,134503.4069244588
1519,232104.31507810205
1520,132190.69360454014
1521,130079.2213067044
1522,166564.42690726154
1523,109533.39037301709
1524,122398.21218597193
1525,120061.57093340276
1526,113935.83291765995
1527,104387.94168088192
1528,134617.65325588628
1529,150113.78412837203
1530,175660.62880961772
1531,107907.55063457404
1532,104815.27052989227
1533,149115.00695662457
1534,120267.04487547503
1535,147140.50965411527
1536,107851.29789630926
1537,69876.94419013707
1538,172218.47135837836
1539,215895.04868065327
1540,106756.94396066802
1541,138892.8757737074
1542,139679.56252056855
1543,213368.71028872038
1544,82179.120549224
1545,106980.24078644128
1546,128472.44378090142
1547,144621.00436123865
1548,141491.1662951077
1549,114483.29338936106
1550,142998.68275514198
1551,112863.1518445405
1552,136883.55610626022
1553,159133.82323171414
1554,112393.69528201528
1555,170201.48350127577
1556,88681.35283268904
1557,104540.36876739128
1558,99717.0743038195
1559,88093.16175070364
1560,129713.53024542484
1561,144403.83378745423
1562,128352.28519306023
1563,121103.19733304234
1564,158287.06057074518
1565,143934.98596892803
1566,242516.1505466532
1567,70131.22827688992
1568,219517.59743344598
1569,139778.23968179553
1570,138935.4865830358
1571,122526.99407037026
1572,146071.1465689739
1573,259375.79572419456
1574,111206.89480207447
1575,234912.16072294753
1576,245414.69740988978
1577,203519.53918697915
1578,145996.70182894584
1579,146520.72341425277
1580,197780.279581792
1581,158584.5817645913
1582,129119.83667219925
1583,326205.8428620648
1584,230013.31792532466
1585,140070.0001947735
1586,71856.8640268895
1587,97947.05285399585
1588,149483.47278550087
1589,97999.4933319755
1590,135781.4206185873
1591,94515.0537806316
1592,120749.2214416478
1593,134093.53904839332
1594,142296.58023383826
1595,106178.96863104778
1596,230850.33429911704
1597,187501.0936577055
1598,193079.25026666152
1599,176191.41279702936
1600,175883.35676893828
1601,70867.92324700512
1602,116562.36141156298
1603,88119.47915326856
1604,280041.29052847676
1605,250556.01040878912
1606,164677.9365756423
1607,158102.66349564854
1608,221118.3747150479
1609,200104.50479984994
1610,155069.1897991361
1611,137085.56868392476
1612,163266.78135438944
1613,158319.93367467838
1614,125498.67141096278
1615,88373.95423077469
1616,69355.40445635525
1617,90110.15663705021
1618,124867.13245299237
1619,139777.52597581578
1620,170729.44165811822
1621,137596.39111855254
1622,137487.8844759743
1623,297816.31258346344
1624,207882.34658198745
1625,124455.64140500162
1626,160064.83890081884
1627,191062.8754317601
1628,270089.8107110617
1629,182183.77113176257
1630,370324.5349695945
1631,218443.46773801307
1632,241698.01972561417
1633,172197.94456641068
1634,188229.19578240658
1635,183344.969975931
1636,156001.3052163317
1637,191377.6962698183
1638,190636.1485325489
1639,183936.47408664413
1640,249536.34907681515
1641,179102.66626776324
1642,228820.4154318785
1643,220760.45298619784
1644,231716.31985680858
1645,191696.55913895986
1646,161477.0314246426
1647,154844.16558711248
1648,129017.31539228262
1649,138996.30403912975
